Node_Nos.,X_Co-ordinate,Y_Co-ordinate,Z_Co-ordinate,DL_Influence_Area_Name,DL_Influence_Surface_Area_sqmt,DL_Surface_U_Value_mt,DL_Surface_v_Value_mt,DL_Red,DL_Green,DL_Blue,DL_%Factor_Per_Floor_Area,DL_Masking,Sunhour/Solar Radiation_Influence_Area_Name,Facad_Bldg_Envelop_Area_sqmt,Facad_Bldg_Envelop_U_Surface_mt,Facad_Bldg_Envelop__V_Surface_mt,Sunhour_Red,Sunhour_Green,Sunhour_Blue,Sunhour_Per_Sqmt_Facad,Solar_Radiatiion_Red,Solar_Radiatiion_Green,Solar_Radiatiion_Blue,Solar_Radiatiion_Per_Sqmt_Facad
142,266.440942,209.854058,10,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,16.49999,3,5.5,0.12549,0,0.87451,2792.242424,0.917647,0.239216,0,961.970385
143,258.309214,222.935534,5,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
144,247.349058,228.945942,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,260.960864,221.344544,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,261.491194,219.753553,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147,260.430534,220.814214,5,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
148,265.203505,221.344544,2.5,Window,5.4,1.8,3,0,0,0,0,1,Facad/Bldg_Ext_Envelope,14.999908,3,5,0.207843,0,0.792157,367.266667,0.921569,0.509804,0.019608,201.566084
149,263.082184,221.344544,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,263.082184,219.223223,0,Floor_Surface,18,3,6,214,166,87,30,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,260.430534,220.814214,0,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
152,263.082184,219.223223,5,Floor_Surface,18,3,6,226,170,75,32,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
153,266.440942,209.854058,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
154,267.501602,208.793398,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,54.999844,10,5.5,0.6,0,0.4,961.072727,0.486275,0.607843,0.819608,269.67991
155,258.309214,222.935534,0,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
156,268.385485,211.798602,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,29.999924,10,3,0.039216,0,0.960784,221.4,0.639216,0.741176,0.85098,147.720681
157,264.496398,207.909515,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,30.000032,10,3,0.882353,0.043137,0.117647,1629.6,0.435294,0.560784,0.780392,644.534227
158,257.602107,215.864466,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
